"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1744","contact form submission with short subject shows validation error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1171","home page combox testing for laundry","webkit","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","848","Create session and save login state","chromium","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","1538","signup with valid credentials for alice@example.com","webkit","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","823","home page combox testing for electrician","chromium","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","1162","signup with valid credentials for vinayksgowda123567@gmail.com","firefox","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","2962","delete cart item carpenter","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","2230","contact form submission with valid data for bob@example.com","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2386","profile update with invalid phone shows validation error","webkit","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","953","3. Click Home navigation","webkit","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","6778","cookie-based API login and booking","webkit","2026-03-30","passed","2026-03-30","","api.spec.js","",""
"","2932","test8","webkit","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","2565","test2","firefox","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","2169","login with valid credentials for alice@example.com","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","971","login with SQL injection attempt shows error","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1087","test9","firefox","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","917","test2","firefox","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","1047","search for cleaner","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","2159","login with valid credentials for test@example.com","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1196","Create session and save login state","firefox","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","75","API login with SQL injection attempt","chromium","2026-03-30","passed","2026-03-30","","api.spec.js","",""
"","1324","home page combox testing for plumber","webkit","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","2243","login with valid credentials for vinayksgowda123567@gmail.com","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","857","9. Services section heading visible","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","1419","profile update with valid data for Vinay K S","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","1182","home page combox testing for painter","webkit","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","764","contact form submission with XSS attempt shows error","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1065","contact form submission with XSS attempt shows error","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1389","profile update with empty username shows validation error","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","671","contact form submission with valid data for jane@example.com","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","918","login with valid credentials for test@example.com","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1544","test7","firefox","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1572","API booking history retrieval after login","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","674","contact form submission with empty message shows validation error","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1231","login with invalid email format shows validation error","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","584","18. Footer logo navigation works","chromium","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","30138","search for carpenter","webkit","2026-03-30","broken","2026-03-30","","cart.spec.js","",""
"","2684","test11","webkit","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1495","test7","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1208","login with empty email shows validation errors","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","637","login with invalid email format shows validation error","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","882","16. Navigate to Cook","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","1088","profile update with valid data for Alice Johnson","chromium","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","1388","profile update with valid data for Bob Brown","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","865","contact form submission with valid data for vinay@example.com","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1746","API payment processing after booking","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","858","signup with valid credentials for test@example.com","chromium","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","71","API login with invalid credentials","firefox","2026-03-30","passed","2026-03-30","","api.spec.js","",""
"","1696","payment method upi checking","firefox","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","1420","profile update with valid data for Jane Smith","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","528","2. Header links are visible","chromium","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","745","has title","webkit","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","812","home page combox testing for painter","firefox","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","4062","payment processing for cook booking","webkit","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","1145","test10","firefox","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","954","contact form submission with short message shows validation error","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2154","contact form submission with invalid email shows validation error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1214","test1","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1298","test1","firefox","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","2354","profile update with valid data for Bob Brown","webkit","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","1935","test6","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","890","1. Home page loads successfully","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","661","signup with valid credentials for vinayksgowda123567@gmail.com","chromium","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","2416","profile update with valid data for Jane Smith","webkit","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","811","3. Click Home navigation","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","605","login with SQL injection attempt shows error","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","66","API login with SQL injection attempt","firefox","2026-03-30","passed","2026-03-30","","api.spec.js","",""
"","844","card details wrong selection 2","chromium","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","1644","profile update with invalid phone shows validation error","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","1097","search for painter","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","984","delete cart item painter","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","720","6. Hero section text visible","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","553","home page combox testing for plumber","chromium","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","716","delete cart item cook","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","844","login with empty email shows validation errors","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1544","API payment processing with invalid booking ID shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1216","payment processing for electrician booking","chromium","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","1925","test4","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","67","API booking history retrieval without authentication shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","654","login with empty password shows validation errors","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","913","signup with valid credentials for user@example.com","firefox","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","591","9. Services section heading visible","chromium","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","1394","delete cart item carpenter","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","4044","payment processing for plumber booking","webkit","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","608","login with XSS attempt shows error","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1051","contact form submission with valid data for john@example.com","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","497","1. Home page loads successfully","chromium","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","1667","profile update with empty phone and email shows validation error","firefox","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","81","API login with missing fields","firefox","2026-03-30","passed","2026-03-30","","api.spec.js","",""
"","2962","search for cleaner","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","618","contact form submission with short subject shows validation error","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2514","test4","firefox","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","2702","payment processing for carpenter booking","chromium","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","30150","search for carpenter","chromium","2026-03-30","broken","2026-03-30","","cart.spec.js","",""
"","2121","contact form submission with SQL injection attempt shows error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2121","contact form submission with valid data for alice@example.com","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","421","has title","firefox","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","1233","API payment processing after booking","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1739","API payment processing with invalid card details shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","804","18. Footer logo navigation works","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","728","17. Footer is visible","webkit","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","1350","login with valid credentials for test@example.com","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1055","profile update with valid data for Jane Smith","chromium","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","2333","test1","webkit","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","2933","search for cook","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","745","search for cook","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","2097","login with valid credentials for bob@example.com","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1393","test9","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","936","contact form submission with short subject shows validation error","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","570","home page combox testing for laundry","chromium","2026-03-30","passed","2026-03-30","","home.spec.js","",""
"","927","search for plumber","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1744","contact form submission with empty message shows validation error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2463","profile update with valid data for Vinay K S","webkit","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","75","API payment processing without authentication shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1175","profile update with valid data for Vinay K S","chromium","2026-03-30","passed","2026-03-30","","profile.spec.js","",""
"","2674","test10","webkit","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","2648","API booking creation with invalid data shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1515","API booking creation with invalid data shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2884","delete cart item cleaner","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","4150","test5","webkit","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1207","payment processing for cleaner booking","chromium","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
"","793","8. Feature section visible","firefox","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","69","API booking history retrieval without authentication shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1922","test5","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","2072","test3","chromium","2026-03-30","passed","2026-03-30","","mybookings.spec.js","",""
"","1763","contact form submission with empty subject shows validation error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","489","19. Contact info section visible","chromium","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","658","contact form submission with valid data for john@example.com","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","682","7. Main heading visible","webkit","2026-03-30","passed","2026-03-30","QuickHelp UI Tests (With Stored Session)","home.spec.js","",""
"","824","login with XSS attempt shows error","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1554","signup3 with invalid username shows validation error","webkit","2026-03-30","passed","2026-03-30","","signUp.spec.js","",""
"","70","API payment processing without authentication shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","616","contact form submission with SQL injection attempt shows error","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","931","delete cart item electrician","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1758","contact form submission with XSS attempt shows error","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1654","payment processing for cook booking","firefox","2026-03-30","passed","2026-03-30","Payment Processing Tests","payment.spec.js","",""
